Model,Accuracy,AUC,CV_Accuracy_Mean,CV_Accuracy_SD
Logistic Regression,0.9824561403508771,0.9953703703703703,0.9736686849868033,0.016627222216787987
Decision Tree,0.9385964912280702,0.9341931216931217,0.9226983387672721,0.02950814116955285
